Name,Purchase Quantity,Required Pcs,Link,Unit Price,Total Price
19.5V 10.3A Power Adapter,1,,https://www.amazon.com/TAIFU-Adapter-Compatible-Charger-Balance/dp/B0DNJDK5JN/ref=sr_1_6?crid=116WRH06ZLVMC&dib=eyJ2IjoiMSJ9.hNyCeWCA8M795rOIHncrVb5a20PjG7HwsRLgjB2fEHnkigqoYSZDefDgFY9IJbeyLo9t6ETiYV0KQU4dkuAFxUVBzlLVEOqDp6fy5GXCD1DH9ZpAepFDFcp75_q174siTZ4tOpkTxWqnPxfaIQxM2_zB_fDpMgXGCeyn7rSngQ8mtX2g1cYE4QKOaxILtGuIDwTViS_bhSq07OF7B5stkABfwGovnqxHt6C9xGxduY8.1G5ZEZFRoQJcwN_fmqegIbj8PU6kDuy9tStlV4UChCs&dib_tag=se&keywords=xt60+power+brick+140+watts&qid=1778554285&sprefix=xt60+power+brick+140+watts%2Caps%2C118&sr=8-6,$21.99,$21.99
LM2596S-3.3V,1,,https://www.digikey.com/en/products/detail/evvo/LM2596S-3-3-EV/24370077,$1.31,$1.31
ESP32 Devkit V1,1,,https://www.aliexpress.us/item/3256808315965945.html?src=google&gatewayAdapt=glo2usa,$4.09,$4.09
XT60PW-M (Male),1,,https://www.aliexpress.us/item/2255799820907812.html?src=google&gatewayAdapt=glo2usa,$3.00,$3.00
A4988 Stepper Motor Driver,4,,https://www.alibaba.com/product-detail/3D-Printed-A4988-Red-Stepper-Motor_1601242133819.html?mark=google_shopping&pcy=us_en,$0.60,$2.40
STM32F103C8T7TR,5,,https://www.alibaba.com/product-detail/STM32F103C8T7-MCU-Microcontroller-Integrated-Circuit-New_1601672982059.html?spm=a2700.prosearch.normal_offer.d_title.511f67afZT25dd&priceId=dd7aa3f1a83645e98384907102425bb6,$2.20,$11.00
LTC4311ISC6 TRPBF,1,,https://www.digikey.com/en/products/detail/analog-devices-inc/LTC4311ISC6-TRPBF/1814494?s=N4IgTCBcDaIDIBUDCAWAzARgwSQMpIDYBiBAJQAUAhAMRAF0BfIA,$5.40,$5.40
BMI323,5,,https://www.digikey.com/en/products/detail/bosch-sensortec/BMI323/16719593,$3.69,$18.45
PNP Transistor DTB143EKT146,5,,https://www.digikey.com/en/products/detail/rohm-semiconductor/DTB143EKT146/658864,$0.57,$2.85
470 Ohm Resistor,5,,https://www.digikey.com/en/products/detail/rohm-semiconductor/KTR03EZPJ471/2288583?gclsrc=aw.ds&gad_source=4&gad_campaignid=20747733577&gbraid=0AAAAADrbLlixG2KXg8VSnFszjD7G5MDb3&gclid=CjwKCAjw2rrQBhBuEiwAarLWHSByMJkV1NHM1JMuyFIi_dowfcjSbjTNHQcRnpRpuaRQk2XhJ5Y6ABoCmCAQAvD_BwE,$0.15,$0.75
